title,genre,language,imdb_score,premiere,runtime,year
Fractured,Thriller,English,6.4,10/11/2019,100,2019
The Irishman: In Conversation,Aftershow / Interview,English,7.4,11/27/2019,23,2019
7 años,Drama,Spanish,6.8,10/28/2016,76,2016
Antoine Griezmann: The Making of a Legend,Documentary,French,6.5,3/21/2019,60,2019
Fatal Affair,Thriller,English,4.5,7/16/2020,89,2020
Music Teacher,Drama,Hindi,6.3,4/19/2019,101,2019
Enter the Anime,Documentary,English/Japanese,2.5,8/5/2019,58,2019
Ben Platt: Live from Radio City Music Hall,Concert Film,English,8.4,5/20/2020,85,2020
First Match,Sports-drama,English,6.4,3/30/2018,102,2018
Coffee & Kareem,Action comedy,English,5.1,4/3/2020,88,2020
You've Got This,Romantic comedy,Spanish,5.8,10/2/2020,111,2020
A Week Away,Christian musical,English,5.7,3/26/2021,97,2021
The 40-Year-Old Version,Comedy,English,7.2,10/9/2020,124,2020
What Happened to Mr. Cha?,Comedy,Korean,4.3,1/1/2021,102,2021
Finding Agnes,Drama,Filipino,4.7,11/30/2020,105,2020
A Whisker Away,Anime/Fantasy,Japanese,6.7,6/18/2020,104,2020
Ghost Lab,Horror,Thai,5.2,5/26/2021,117,2021
ReMastered: Devil at the Crossroads,Documentary,English,7,4/26/2019,48,2019
ReMastered: Tricky Dick & the Man in Black,Documentary,English,7.1,11/2/2018,58,2018
Handsome: A Netflix Mystery Movie,Comedy,English,5.2,5/5/2017,81,2017
Rim of the World,Science fiction adventure,English,5.2,5/24/2019,98,2019
Notes from Dunblane: Lesson from a School Shooting,Documentary,English,5.9,9/28/2018,23,2018
Homecoming: A Film by Beyonce ,Documentary,English,7.5,4/17/2019,137,2019
Miss Americana,Documentary,English,7.4,1/31/2020,85,2020
Always Be My Maybe,Romantic comedy,English,6.8,5/31/2019,102,2019
Holiday in the Wild,Adventure-romance,English,6.1,11/1/2019,85,2019
Dude,Teen comedy-drama,English,5.1,4/20/2018,97,2018
Zion ,Documentary,English,7.2,8/10/2018,11,2018
ReMastered: The Lion's Share,Documentary,English,7,5/17/2019,84,2019
The Social Dilemma,Documentary,English,7.6,9/9/2020,94,2020
Paris Is Us,Romance drama,French,4.6,2/22/2019,83,2019
Candy Jar,Comedy,English,5.8,4/27/2018,92,2018
Blame!,Anime/Science fiction,Japanese,6.7,5/20/2017,106,2017
American Factory: A Conversation with the Obamas ,Aftershow / Interview,English,5.2,8/21/2019,10,2019
The Life Ahead,Drama,Italian,6.8,11/13/2020,95,2020
A Christmas Prince: The Royal Wedding,Romantic comedy,English,5.3,11/30/2018,92,2018
Maska,Romantic comedy,Hindi,5.9,3/27/2020,111,2020
AK vs AK,Thriller,Hindi,6.9,12/24/2020,108,2020
Eli,Horror,English,5.7,10/18/2019,98,2019
A Christmas Prince,Romantic comedy,English,5.8,11/17/2017,92,2017
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,English,5.9,7/16/2019,32,2019
The Babysitter,Teen comedy horror,English,6.3,10/13/2017,85,2017
I'm Thinking of Ending Things,Psychological thriller,English,6.6,9/4/2020,134,2020
Death Note,Horror thriller,English,4.4,8/25/2017,100,2017
El Camino: A Breaking Bad Movie,Crime drama,English,7.3,10/11/2019,121,2019
Los Tigres del Norte at Folsom Prison,Documentary,Spanish,7,9/15/2019,64,2019
They'll Love Me When I'm Dead,Documentary,English,7.4,11/2/2018,98,2018
The Christmas Chronicles: Part Two,Christmas comedy,English,6,11/25/2020,115,2020
Pele,Documentary,English,7,2/23/2021,108,2021
Mowgli: Legend of the Jungle,Adventure,English,6.5,12/7/2018,104,2018
Have You Ever Seen Fireflies?,Comedy,Turkish,6.2,4/9/2021,114,2021
Extinction,Science fiction/Thriller,English,5.8,7/27/2018,95,2018
High Flying Bird,Sports-drama,English,6.2,2/8/2019,90,2019
Malcolm & Marie,Romantic drama,English,6.7,2/5/2021,106,2021
Chasing Coral ,Documentary,English,8.1,7/14/2017,89,2017
The Ridiculous 6,Western,English,4.8,12/11/2015,119,2015
Stuck Apart,Drama,Turkish,6.1,1/8/2021,96,2021
John Was Trying to Contact Aliens,Documentary,English,6.4,8/20/2020,16,2020
Barry,Biopic,English,5.8,12/16/2016,104,2016
Rising Phoenix,Documentary,English,8.1,8/26/2020,106,2020
Joan Didion: The Center Will Not Hold,Documentary,English,7.5,10/27/2017,98,2017
Feminists: What Were They Thinking?,Documentary,English,7,10/12/2018,86,2018
Okja,Action-adventure,English/Korean,7.3,6/28/2017,121,2017
Extremis,Documentary,English,7.3,9/13/2016,24,2016
Been So Long,Musical,English,5.5,10/26/2018,100,2018
To All the Boys: Always and Forever,Romantic comedy,English,6.3,2/12/2021,109,2021
The Black Godfather,Documentary,English,7.4,6/7/2019,118,2019
The Minimalists: Less Is Now,Documentary,English,5.9,1/1/2021,53,2021
Ajeeb Daastaans,Drama,Hindi,6.7,4/16/2021,142,2021
Da 5 Bloods,War drama,English,6.5,6/12/2020,155,2020
The Week Of,Comedy,English,5.2,4/27/2018,116,2018
The Last Paradiso,Romantic drama,Italian,5.6,2/5/2021,107,2021
I'll Sleep When I'm Dead,Documentary,English,6.6,8/19/2016,79,2016
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,English,7,12/18/2020,31,2020
Amateur,Sports-drama,English,5.9,4/6/2018,96,2018
Take the 10,Comedy,English,4.8,1/20/2017,80,2017
First They Killed My Father,Drama,Khmer/English/French,7.2,9/15/2017,136,2017
Have a Good Trip: Adventures in Psychedelics,Documentary,English,6.8,5/11/2020,85,2020
Rebecca,Romantic thriller,English,6,10/21/2020,123,2020
6 Underground,Action,English,6.1,12/13/2019,128,2019
Tell Me Who I Am,Documentary,English,7.6,10/18/2019,85,2019
Project Power,Superhero,English,6,8/14/2020,113,2020
The Dig,Drama,English,7.1,1/29/2021,112,2021
A Very Murray Christmas,Comedy / Musical,English,5.5,12/4/2015,56,2015
My Beautiful Broken Brain,Documentary,English,7.1,3/18/2016,91,2016
The Kissing Booth 2,Romantic comedy,English,5.8,7/24/2020,131,2020
Bright,Urban fantasy,English,6.3,12/22/2017,117,2017
Come Sunday,Biopic,English,6,4/13/2018,106,2018
Beasts of No Nation,War drama,English/Akan,7.7,10/16/2015,136,2015
All Day and a Night,Drama,English,5.8,5/1/2020,121,2020
Altered Carbon: Resleeved,Anime/Science fiction,Japanese,6.5,3/19/2020,74,2020
War Machine,War-Comedy,English,6,5/26/2017,122,2017
Point Blank,Action,English,5.7,7/12/2019,86,2019
Rodney King,One-man show,English,5.8,4/28/2017,52,2017
Evelyn,Documentary,English,7.1,9/10/2019,96,2019
A 3 Minute Hug,Documentary,English/Spanish,6.5,10/28/2019,28,2019
Prime Time,Thriller,Polish,5.7,4/14/2021,91,2021
Citation,Drama,English,6.2,11/6/2020,151,2020
"Strip Down, Rise Up",Documentary,English,5.2,2/5/2021,112,2021
The Sleepover,Comedy,English,5.6,8/21/2020,103,2020
Knock Down the House,Documentary,English,7.1,5/1/2019,87,2019
Mercury 13,Documentary,English,6.8,4/20/2018,79,2018
Travis Scott: Look Mom I Can Fly,Documentary,English,6.3,8/28/2019,85,2019
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,English,6.4,9/27/2019,41,2019
A Christmas Prince: The Royal Baby,Romantic comedy,English,5.4,12/5/2019,85,2019
Bomb Scared,Black comedy,Spanish/Basque,5.6,10/12/2017,89,2017
The Edge of Democracy,Documentary,Portuguese,7.2,6/19/2019,121,2019
Father of the Year,Comedy,English,5.2,7/20/2018,94,2018
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,English,7.7,11/17/2017,94,2017
Voyuer ,Documentary,English,6.2,12/1/2017,95,2017
A Futile and Stupid Gesture,Biographical/Comedy,English,6.8,1/26/2018,101,2018
What We Wanted,Drama,German,5.8,11/11/2020,93,2020
Taylor Swift: Reputation Stadium Tour,Concert Film,English,8.4,12/31/2018,125,2018
Time to Hunt,Thriller,Korean,6.3,4/23/2020,134,2020
The Outsider,Crime drama,English/Japanese,6.3,3/9/2018,120,2018
Quincy,Documentary,English,7.6,9/21/2018,124,2018
The Three Deaths of Marisela Escobedo,Documentary,Spanish,8.2,10/14/2020,109,2020
TAU,Science fiction/Thriller,English,5.8,6/29/2018,97,2018
Giving Voice,Documentary,English,6.7,12/11/2020,90,2020
One Take,Documentary,Thai,5.7,6/18/2020,85,2020
Army of the Dead,Zombie/Heist,English,5.9,5/21/2021,148,2021
"What Happened, Miss Simone?",Documentary,English,7.6,6/26/2015,84,2015
The Last Laugh,Comedy-drama,English,5.6,1/11/2019,98,2019
The Decline,Thriller,French,5.9,3/27/2020,83,2020
Horse Girl,Drama,English,5.9,2/7/2020,104,2020
Invader Zim: Enter the Florpus,Animation / Science Fiction,English,7.5,8/16/2019,71,2019
Mercy,Thriller,English,4.2,11/22/2016,90,2016
Cargo,Drama/Horror,English,6.3,5/18/2018,104,2018
Airplane Mode,Comedy,Portuguese,5,1/23/2020,96,2020
Period. End of Sentence.,Documentary,English/Hindi,7.4,2/12/2019,26,2019
The Wrong Missy,Comedy,English,5.7,5/13/2020,90,2020
The Disciple,Drama,Marathi,7.2,4/30/2021,129,2021
The Girl on the Train,Thriller,Hindi,4.4,2/26/2021,120,2021
Mute,Science fiction/Mystery,English,5.5,2/23/2018,126,2018
The Rachel Divide,Documentary,English,6.2,4/27/2018,104,2018
Tramps,Romance,English,6.5,4/21/2017,83,2017
The Larva Island Movie,Animation,English,5.1,7/23/2020,90,2020
Sol Levante,Anime / Short,English,4.7,4/2/2020,4,2020
Vampires vs. the Bronx,Horror comedy,English,5.6,10/2/2020,86,2020
Someone Great,Romantic comedy,English,6.2,4/19/2019,92,2019
Joshua: Teenager vs. Superpower,Documentary,English,7.1,5/26/2017,78,2017
Dark Forces,Thriller,Spanish,2.6,8/21/2020,81,2020
Baggio: The Divine Ponytail,Biopic,Italian,6.2,5/26/2021,92,2021
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,English,5.4,10/15/2020,98,2020
The Red Sea Diving Resort,Spy thriller,English,6.6,7/31/2019,130,2019
Between Two Ferns: The Movie,Comedy,English,6.1,9/20/2019,82,2019
Deidra & Laney Rob a Train,Drama,English,6.1,3/17/2017,94,2017
Tersanjung the Movie,Drama,Indonesian,6.1,4/1/2021,114,2021
Sergio,Biopic,English,6.1,4/17/2020,118,2020
American Son,Drama,English,5.8,11/1/2019,90,2019
6 Balloons,Drama,English,5.9,4/6/2018,75,2018
Justin Timberlake + The Tennessee Kids,Concert Film,English,7.7,10/12/2016,90,2016
Finding 'Ohana,Family,English,6.1,1/29/2021,123,2021
Street Flow,Drama,French,6.4,10/12/2019,96,2019
Lovefucked,Drama,Hindi,6,8/9/2019,106,2019
Jingle Jangle: A Christmas Journey,Family/Christmas musical,English,6.5,11/13/2020,119,2020
Love Like the Falling Rain,Drama,Indonesian,5,10/15/2020,86,2020
Ibiza,Comedy,English,5.2,5/25/2018,94,2018
The Binding,Drama,Italian,4.7,10/2/2020,93,2020
Sarah Cooper: Everything's Fine,Variety show,English,5.6,10/27/2020,49,2020
Rose Island,Comedy,Italian,7,12/9/2020,117,2020
Earthquake Bird,Mystery,English,5.9,11/15/2019,107,2019
GIMS: On the Record,Documentary,French,6.8,9/17/2020,96,2020
Falling Inn Love,Romantic comedy,English,5.6,8/29/2019,97,2019
Cam,Psychological horror,English,5.9,11/16/2018,94,2018
Yes Day,Comedy,English,5.7,3/12/2021,86,2021
American Murder: The Family Next Door,Documentary,English,7.2,9/30/2020,82,2020
Good Sam,Drama,English,5.7,5/16/2019,89,2019
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,English,7,11/3/2020,14,2020
Thunder Force,Superhero-Comedy,English,4.4,4/9/2021,105,2021
The King,Historical drama,English,7.2,11/1/2019,140,2019
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,English,7,11/22/2018,104,2018
Long Shot,Documentary,English,7.4,9/29/2017,40,2017
The Road to El Camino: A Breaking Bad Movie,Making-of,English,7.2,10/29/2019,13,2019
Paddleton,Drama-Comedy,English,7.2,2/22/2019,89,2019
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,English,7.6,6/12/2019,144,2019
Freaks: You're One of Us,Supernatural drama,German,5.4,9/2/2020,92,2020
Squared Love,Romantic comedy,Polish,5,2/11/2021,102,2021
My Own Man,Documentary,English,6.4,12/13/2014,81,2014
Biggie: I Got a Story to Tell,Documentary,English,6.9,3/1/2021,97,2021
